Celex	Celex	NNP
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
comprise	comprise	VB
the	the	DT
President	President	NNP
,	,	,
the	the	DT
Vice-President	vice-president	NNP
and	and	CC
four	four	CD
other	other	JJ
members	member	NNS
.	.	.
The	the	DT
members	member	NNS
shall	shall	MD
perform	perform	VB
their	their	PRP$
duties	duty	NNS
on	on	IN
a	a	DT
full-time	full-time	JJ
basis	basis	NN
.	.	.
No	no	DT
member	member	NN
shall	shall	MD
engage	engage	VB
in	in	IN
any	any	DT
occupation	occupation	NN
,	,	,
whether	whether	IN
gainful	gainful	NN
or	or	CC
not	not	RB
,	,	,
unless	unless	IN
exemption	exemption	NNP
is	be	VBZ
exceptionally	exceptionally	RB
granted	grant	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
.	.	.
2.	@ord@	CD
In	in	IN
accordance	accordance	NN
with	with	IN
Article III-382(2	Article III-382(2	JJ
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
the	the	DT
President	President	NNP
,	,	,
the	the	DT
Vice-President	vice-president	NNP
and	and	CC
the	the	DT
other	other	JJ
members	member	NNS
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
be	be	VB
appointed	appoint	VBN
by	by	IN
the	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
acting	act	NN
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
,	,	NN
from	from	IN
among	amongst	IN
persons	person	NNS
of	of	IN
recognised	recognize	JJ
standing	standing	NN
and	and	CC
professional	professional	JJ
experience	experience	NN
in	in	IN
monetary	monetary	JJ
or	or	CC
banking	banking	NN
matters	matter	NNS
,	,	,
on	on	IN
a	a	DT
recommendation	recommendation	NN
from	from	IN
the	the	DT
Council	Council	NNP
and	and	CC
after	after	IN
consulting	consult	VBG
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
and	and	CC
the	the	DT
Governing	govern	NNP
Council	Council	NNP
.	.	.
Their	their	PRP$
term	term	NN
of	of	IN
office	office	NN
shall	shall	MD
be	be	VB
eight	eight	CD
years	year	NNS
and	and	CC
shall	shall	MD
not	not	RB
be	be	VB
renewable	renewable	VBN
.	.	.
Only	only	JJ
nationals	national	NNS
of	of	IN
Member	Member	NNP
States	States	NNP
may	may	MD
be	be	VB
members	member	NNS
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
.	.	.
3.	@ord@	CD
The	the	DT
terms	term	NNS
and	and	CC
conditions	condition	NNS
of	of	IN
employment	employment	NN
of	of	IN
the	the	DT
members	member	NNS
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
,	,	,
in	in	IN
particular	particular	JJ
their	their	NN
salaries	salary	NNS
,	,	,
pensions	pension	NNS
and	and	CC
other	other	JJ
social	social	JJ
security	security	NN
benefits	benefit	NNS
shall	shall	MD
be	be	VB
the	the	DT
subject	subject	NN
of	of	IN
contracts	contract	NNS
with	with	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
shall	shall	MD
be	be	VB
fixed	fix	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	council	NNP
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
a	a	DT
Committee	Committee	NNP
comprising	comprise	NN
three	three	CD
members	member	NNS
appointed	appoint	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
and	and	CC
three	three	CD
members	member	NNS
appointed	appoint	VBN
by	by	IN
the	the	DT
Council	Council	NNP
.	.	.
The	the	DT
members	member	NNS
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
not	not	RB
have	have	VB
the	the	DT
right	right	NN
to	to	TO
vote	vote	VB
on	on	IN
matters	matter	NNS
referred	refer	VBN
to	to	TO
in	in	IN
this	this	DT
paragraph.4	paragraph.4	CD
.	.	.
If	if	IN
a	a	DT
member	member	NN
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
no	no	RB
longer	long	RB
fulfils	fulfill	VBZ
the	the	DT
conditions	condition	NNS
required	require	VBN
for	for	IN
the	the	DT
performance	performance	NN
of	of	IN
his	his	PRP$
duties	duty	NNS
or	or	CC
if	if	IN
he	he	PRP
has	have	VBZ
been	be	VBN
guilty	guilty	JJ
of	of	IN
serious	serious	JJ
misconduct	misconduct	NN
,	,	,
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
may	may	NNP
,	,	,
on	on	IN
application	application	NN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
or	or	CC
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
,	,	,
compulsorily	compulsorily	RB
retire	retire	VBP
him	him	PRP
.	.	.
5.	@ord@	CD
Each	each	DT
member	member	NN
of	of	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
present	present	NNS
in	in	IN
person	person	NN
shall	shall	MD
have	have	VB
the	the	DT
right	right	JJ
to	to	TO
vote	vote	VB
and	and	CC
shall	shall	MD
have	have	VB
,	,	VBN
for	for	IN
that	that	DT
purpose	purpose	NN
,	,	,
one	one	CD
vote	vote	NN
.	.	.
Save	save	RB
as	as	VBD
otherwise	otherwise	RB
provided	provided	VBN
,	,	,
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
act	act	VB
by	by	IN
a	a	DT
simple	simple	JJ
majority	majority	NN
of	of	IN
the	the	DT
votes	vote	NNS
cast	cast	VBN
.	.	.
In	in	IN
the	the	DT
event	event	NN
of	of	IN
a	a	DT
tie	tie	NN
,	,	,
the	the	DT
President	President	NNP
shall	shall	MD
have	have	VB
the	the	DT
casting	casting	JJ
vote	vote	NN
.	.	.
The	the	DT
voting	voting	NN
arrangements	arrangement	NNS
shall	shall	MD
be	be	VB
specified	specify	VBN
in	in	IN
the	the	DT
Rules	Rules	NNP
of	of	IN
Procedure	procedure	NN
referred	refer	VBN
to	to	TO
in	in	IN
Article 12(3).6	Article 12(3).6	NNP
.	.	.
The	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
be	be	VB
responsible	responsible	VBN
for	for	IN
the	the	DT
current	current	JJ
business	business	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank.7	Bank.7	NNP
.	.	.
Any	any	DT
vacancy	vacancy	NN
on	on	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
be	be	VB
filled	fill	VBN
by	by	IN
the	the	DT
appointment	appointment	NN
of	of	IN
a	a	DT
new	new	JJ
member	member	NN
in	in	IN
accordance	accordance	NN
with	with	IN
paragraph 2	paragraph 2	CD
.	.	.
Article 12	Article 12	CD
Responsibilities	responsibility	NNS
of	of	IN
the	the	DT
decision-making	decision-making	JJ
bodies	body	NNS
1.	@ord@	CD
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
adopt	adopt	VB
the	the	DT
guidelines	guideline	NNS
and	and	CC
take	take	VB
the	the	DT
decisions	decision	NNS
necessary	necessary	VBD
to	to	TO
ensure	ensure	VB
the	the	DT
performance	performance	NN
of	of	IN
the	the	DT
tasks	task	NNS
entrusted	entrust	VBD
to	to	TO
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
under	under	IN
the	the	DT
Constitution	Constitution	NNP
and	and	CC
this	this	DT
Statute	statute	NN
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
formulate	formulate	VB
the	the	DT
monetary	monetary	JJ
policy	policy	NN
of	of	IN
the	the	DT
Union	Union	NNP
including	include	NNP
,	,	,
as	as	IN
appropriate	appropriate	JJ
,	,	NN
decisions	decision	NNS
relating	relate	VBD
to	to	TO
intermediate	intermediate	VB
monetary	monetary	JJ
objectives	objective	NNS
,	,	,
key	key	JJ
interest	interest	NN
rates	rate	NNS
and	and	CC
the	the	DT
supply	supply	NN
of	of	IN
reserves	reserve	NNS
in	in	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
,	,	,
and	and	CC
shall	shall	MD
establish	establish	VB
the	the	DT
necessary	necessary	JJ
guidelines	guideline	NNS
for	for	IN
their	their	PRP$
implementation	implementation	NN
.	.	.
The	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
implement	implement	VB
monetary	monetary	JJ
policy	policy	NN
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
guidelines	guideline	NNS
and	and	CC
decisions	decision	NNS
laid	lay	VBD
down	down	IN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
.	.	.
In	in	IN
doing	do	VBG
so	so	IN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
give	give	VB
the	the	DT
necessary	necessary	NN
instructions	instruction	VBZ
to	to	TO
national	national	JJ
central	central	JJ
banks	bank	NNS
.	.	.
In	in	IN
addition	addition	NN
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
may	may	MD
have	have	VB
certain	certain	JJ
powers	power	NNS
delegated	delegate	VBD
to	to	TO
it	it	VB
where	where	WRB
the	the	DT
Governing	govern	NNP
Council	Council	NNP
so	so	RB
decides	decide	VBZ
.	.	.
To	To	TO
the	the	DT
extent	extent	NN
deemed	deem	VBD
possible	possible	JJ
and	and	CC
appropriate	appropriate	JJ
and	and	CC
without	without	IN
prejudice	prejudice	NN
to	to	TO
the	the	DT
provisions	provision	NNS
of	of	IN
this	this	DT
Article	Article	NN
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
have	have	VB
recourse	recourse	VBN
to	to	TO
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
to	to	TO
carry	carry	VB
out	out	RP
operations	operation	NNS
which	which	WDT
form	form	VBP
part	part	NN
of	of	IN
the	the	DT
tasks	task	NNS
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
.	.	.
2.	@ord@	CD
The	the	DT
Executive	Executive	NNP
Board	Board	NNP
shall	shall	MD
have	have	VB
responsibility	responsibility	NN
for	for	IN
the	the	DT
preparation	preparation	NN
of	of	IN
meetings	meeting	NNS
of	of	IN
the	the	DT
Governing	govern	NNP
Council.3	Council.3	NNP
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
adopt	adopt	VB
Rules	rule	NNS
of	of	IN
Procedure	procedure	NN
which	which	WDT
determine	determine	VBP
the	the	DT
internal	internal	JJ
organisation	organization	NN
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
its	its	PRP$
decision-making	decision-making	JJ
bodies.4	bodies.4	CD
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
exercise	exercise	VB
the	the	DT
advisory	advisory	NN
functions	function	NNS
referred	refer	VBD
to	to	CD
in	in	IN
Article 4	Article 4	CD
.	.	.
5.	@ord@	CD
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
take	take	VB
the	the	DT
decisions	decision	NNS
referred	refer	VBD
to	to	TO
in	in	IN
Article 6	Article 6	NNP
.	.	.
Article 13	Article 13	CD
The	the	DT
President	President	NNP
1.	@ord@	CD
The	the	DT
President	President	NNP
or	or	NN
,	,	,
in	in	IN
his	his	PRP$
absence	absence	NN
,	,	,
the	the	DT
Vice-President	vice-president	JJ
shall	shall	NN
chair	chair	VBD
the	the	DT
Governing	govern	NNP
Council	Council	NNP
and	and	CC
the	the	DT
Executive	Executive	NNP
Board	Board	NNP
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank.2	Bank.2	NNP
.	.	.
Without	without	IN
prejudice	prejudice	NN
to	to	TO
Article 38	Article 38	NNP
,	,	,
the	the	DT
President	President	NNP
or	or	CC
his	his	PRP$
nominee	nominee	NN
shall	shall	MD
represent	represent	VB
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
externally	externally	RB
.	.	.
Article 14	Article 14	CD
National	national	JJ
central	central	JJ
banks	bank	NNS
1.	@ord@	CD
In	in	IN
accordance	accordance	NN
with	with	IN
Article III-189	Article III-189	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
each	each	DT
Member	Member	NNP
State	State	NNP
shall	shall	MD
ensure	ensure	VB
that	that	IN
its	its	PRP$
national	national	JJ
legislation	legislation	NN
,	,	,
including	include	IN
the	the	DT
statutes	statute	NNS
of	of	IN
its	its	PRP$
national	national	JJ
central	central	JJ
bank	bank	NN
,	,	,
is	be	VBZ
compatible	compatible	VBN
with	with	IN
the	the	DT
Constitution	Constitution	NNP
and	and	CC
this	this	DT
Statute	statute	NN
.	.	.
2.	@ord@	CD
The	the	DT
statutes	statute	NNS
of	of	IN
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
,	,	VB
in	in	IN
particular	particular	JJ
,	,	,
provide	provide	VBP
that	that	IN
the	the	DT
term	term	NN
of	of	IN
office	office	NN
of	of	IN
a	a	DT
Governor	Governor	NN
of	of	IN
a	a	DT
national	national	JJ
central	central	JJ
bank	bank	NN
shall	shall	MD
be	be	VB
no	no	RB
less	less	RBR
than	than	IN
five	five	CD
years	year	NNS
.	.	.
A	a	DT
Governor	Governor	NNP
may	may	MD
be	be	VB
relieved	relieve	VBN
from	from	IN
office	office	NN
only	only	RB
if	if	IN
he	he	PRP
no	no	RB
longer	long	RB
fulfils	fulfill	VBZ
the	the	DT
conditions	condition	NNS
required	require	VBN
for	for	IN
the	the	DT
performance	performance	NN
of	of	IN
his	his	PRP$
duties	duty	NNS
or	or	CC
if	if	IN
he	he	PRP
has	have	VBZ
been	be	VBN
guilty	guilty	JJ
of	of	IN
serious	serious	JJ
misconduct	misconduct	NN
.	.	.
A	a	DT
decision	decision	NN
to	to	TO
this	this	DT
effect	effect	NN
may	may	MD
be	be	VB
referred	refer	VBN
to	to	TO
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
by	by	IN
the	the	DT
Governor	Governor	NNP
concerned	concerned	NNP
or	or	CC
the	the	DT
Governing	govern	NNP
Council	council	NNP
on	on	IN
grounds	ground	NNS
of	of	IN
infringement	infringement	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
or	or	CC
of	of	IN
any	any	DT
rule	rule	NN
of	of	IN
law	law	NN
relating	relate	NN
to	to	VBD
its	its	PRP$
application	application	NN
.	.	.
Such	such	JJ
proceedings	proceeding	NNS
shall	shall	MD
be	be	VB
instituted	institute	VBN
within	within	IN
two	two	CD
months	month	NNS
of	of	IN
the	the	DT
publication	publication	NN
of	of	IN
the	the	DT
decision	decision	NN
or	or	NN
of	of	IN
its	its	PRP$
notification	notification	NN
to	to	TO
the	the	DT
plaintiff	plaintiff	NN
or	or	NN
,	,	,
in	in	IN
the	the	DT
absence	absence	NN
thereof	thereof	NN
,	,	NN
of	of	IN
the	the	DT
day	day	NN
on	on	IN
which	which	WDT
it	it	PRP
came	come	VBD
to	to	TO
the	the	DT
knowledge	knowledge	NN
of	of	IN
the	the	DT
latter	latter	NN
,	,	,
as	as	IN
the	the	DT
case	case	NN
may	may	MD
be	be	VB
.	.	.
3.	@ord@	CD
The	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
are	be	VBP
an	an	DT
integral	integral	JJ
part	part	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
and	and	CC
shall	shall	JJ
act	act	NN
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
guidelines	guideline	NNS
and	and	CC
instructions	instruction	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
.	.	.
The	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
take	take	VB
the	the	DT
necessary	necessary	JJ
steps	step	NNS
to	to	TO
ensure	ensure	VB
compliance	compliance	NN
with	with	IN
the	the	DT
guidelines	guideline	NNS
and	and	CC
instructions	instruction	NNS
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
,	,	,
and	and	CC
shall	shall	MD
require	require	VB
that	that	IN
any	any	DT
necessary	necessary	JJ
information	information	NN
be	be	VB
given	give	VBN
to	to	TO
it.4	it.4	CD
.	.	.
National	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
perform	perform	VB
functions	function	NNS
other	other	RB
than	than	IN
those	those	DT
specified	specify	VBN
in	in	IN
this	this	DT
Statute	statute	NN
unless	unless	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
finds	find	VBZ
,	,	NN
by	by	IN
a	a	DT
majority	majority	NN
of	of	IN
two	two	CD
thirds	third	NNS
of	of	IN
the	the	DT
votes	vote	NNS
cast	cast	VBN
,	,	NN
that	that	IN
these	these	DT
interfere	interfere	NN
with	with	IN
the	the	DT
objectives	objective	NNS
and	and	CC
tasks	task	NNS
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
.	.	.
Such	such	JJ
functions	function	NNS
shall	shall	MD
be	be	VB
performed	perform	VBN
on	on	IN
the	the	DT
responsibility	responsibility	NN
and	and	CC
liability	liability	NN
of	of	IN
national	national	JJ
central	central	JJ
banks	bank	NNS
and	and	CC
shall	shall	MD
not	not	RB
be	be	VB
regarded	regard	VBN
as	as	IN
being	being	VBG
part	part	NN
of	of	IN
the	the	DT
functions	function	NNS
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
.	.	.
Article 15	Article 15	CD
Reporting	report	JJ
commitments	commitment	NNS
1.	@ord@	CD
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
draw	draw	VB
up	up	NN
and	and	CC
publish	publish	VB
reports	report	NNS
on	on	IN
the	the	DT
activities	activity	NNS
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
at	at	IN
least	least	JJS
quarterly.2	quarterly.2	CD
.	.	.
A	a	DT
consolidated	consolidated	JJ
financial	financial	JJ
statement	statement	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
shall	shall	MD
be	be	VB
published	publish	VBN
each	each	DT
week.3	week.3	CD
.	.	.
In	in	IN
accordance	accordance	NN
with	with	IN
Article III-383(3	Article III-383(3	JJ
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
address	address	VB
an	an	DT
annual	annual	JJ
report	report	NN
on	on	IN
the	the	DT
activities	activity	NNS
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	JJ
Banks	Banks	NNS
and	and	CC
on	on	IN
the	the	DT
monetary	monetary	JJ
policy	policy	NN
of	of	IN
both	both	DT
the	the	DT
previous	previous	NNS
and	and	CC
the	the	DT
current	current	JJ
year	year	NN
to	to	TO
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
,	,	,
the	the	DT
European	European	NNP
Council	Council	NNP
,	,	,
the	the	DT
Council	Council	NNP
and	and	CC
the	the	DT
Commission.4	Commission.4	NNP
.	.	.
The	the	DT
reports	report	NNS
and	and	VBD
statements	statement	NNS
referred	refer	VBN
to	to	TO
in	in	IN
this	this	DT
Article	Article	NN
shall	shall	MD
be	be	VB
made	make	VBN
available	available	JJ
to	to	TO
interested	interested	JJ
parties	party	NNS
free	free	JJ
of	of	IN
charge	charge	NN
.	.	.
Article 16	Article 16	CD
Banknotes	banknote	NNS
In	in	IN
accordance	accordance	NN
with	with	IN
Article III-186(1	Article III-186(1	JJ
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
the	the	DT
Governing	govern	NNP
Council	Council	NNP
shall	shall	MD
have	have	VB
the	the	DT
exclusive	exclusive	JJ
right	right	NN
to	to	TO
authorise	authorize	VB
the	the	DT
issue	issue	NN
of	of	IN
euro	euro	JJ
banknotes	banknote	NNS
within	within	IN
the	the	DT
Union	Union	NNP
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
issue	issue	VB
such	such	JJ
notes	note	NNS
.	.	.
The	the	DT
banknotes	banknote	NNS
issued	issue	VBN
by	by	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
shall	shall	MD
be	be	VB
the	the	DT
only	only	JJ
such	such	JJ
notes	note	NNS
to	to	TO
have	have	VB
the	the	DT
status	status	NN
of	of	IN
legal	legal	JJ
tender	tender	NN
within	within	IN
the	the	DT
Union	Union	NNP
.	.	.
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	VBD
respect	respect	NN
as	as	IN
far	far	RB
as	as	IN
possible	possible	JJ
existing	existing	NN
practices	practice	NNS
regarding	regard	VBG
the	the	DT
issue	issue	NN
and	and	CC
design	design	NN
of	of	IN
banknotes	banknote	NNS
.	.	.
CHAPTER	chapter	NNP
IV	IV	NNP
MONETARY	monetary	NNP
FUNCTIONS	function	NNP
AND	and	NNP
OPERATIONS	OPERATIONS	NNP
OF	of	NNP
THE	the	NNP
EUROPEAN	European	NNP
SYSTEM	system	NNP
OF	of	NNP
CENTRAL	central	NNP
BANKS	bank	NNP
Article 17	Article 17	CD
Accounts	account	NNS
with	with	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
In	in	IN
order	order	NN
to	to	TO
conduct	conduct	VB
their	their	PRP$
operations	operation	NNS
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
open	open	VB
accounts	account	NNS
for	for	IN
credit	credit	NN
institutions	institution	NNS
,	,	,
public	public	JJ
entities	entity	NNS
and	and	CC
other	other	JJ
market	market	NN
participants	participant	NNS
,	,	,
and	and	CC
accept	accept	JJ
assets	asset	NNS
,	,	,
including	include	IN
book	book	JJ
entry	entry	NN
securities	security	NNS
,	,	NN
as	as	IN
collateral	collateral	NN
.	.	.
Article 18	Article 18	CD
Open	open	JJ
market	market	NN
and	and	CC
credit	credit	NN
operations	operation	NNS
1.	@ord@	CD
In	in	IN
order	order	NN
to	to	TO
achieve	achieve	VB
the	the	DT
objectives	objective	NNS
of	of	IN
the	the	DT
European	European	JJ
System	system	NN
of	of	IN
Central	central	JJ
Banks	bank	NNS
and	and	CC
to	to	TO
carry	carry	VB
out	out	IN
its	its	PRP$
tasks	task	NNS
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
may	may	MD
:	:	VB
(	(	(
a	a	NN
)	)	)
operate	operate	NN
in	in	IN
the	the	DT
financial	financial	JJ
markets	market	NNS
by	by	IN
buying	buy	VBG
and	and	CC
selling	sell	NN
outright	outright	NN
(	(	NN
spot	spot	NN
and	and	CC
forward	forward	NN
)	)	NN
or	or	CC
under	under	IN
repurchase	repurchase	JJ
agreement	agreement	NN
and	and	CC
by	by	IN
lending	lending	NN
or	or	CC
borrowing	borrowing	NN
claims	claim	NNS
and	and	CC
marketable	marketable	JJ
instruments	instrument	NNS
,	,	,
whether	whether	IN
in	in	IN
euro	euro	NN
or	or	CC
other	other	JJ
currencies	currency	NNS
,	,	,
as	as	RB
well	well	RB
as	as	IN
precious	precious	JJ
metals	metal	NNS
;	;	NN
(	(	(
b	b	NN
)	)	)
conduct	conduct	NN
credit	credit	NN
operations	operation	NNS
with	with	IN
credit	credit	NN
institutions	institution	NNS
and	and	CC
other	other	JJ
market	market	NN
participants	participant	NNS
,	,	,
with	with	IN
lending	lending	NN
being	being	NN
based	base	VBN
on	on	IN
adequate	adequate	JJ
collateral	collateral	NN
.	.	.
2.	@ord@	CD
The	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
establish	establish	VB
general	general	JJ
principles	principle	NNS
for	for	IN
open	open	JJ
market	market	NN
and	and	CC
credit	credit	NN
operations	operation	NNS
carried	carry	VBD
out	out	IN
by	by	IN
itself	itself	PRP
or	or	CC
the	the	DT
national	national	JJ
central	central	JJ
banks	bank	NNS
,	,	,
including	include	IN
for	for	IN
the	the	DT
announcement	announcement	NN
of	of	IN
conditions	condition	NNS
under	under	IN
which	which	WDT
they	they	PRP
stand	stand	VBP
ready	ready	JJ
to	to	TO
enter	enter	VB
into	into	IN
such	such	JJ
transactions	transaction	NNS
.	.	.
Article 19	Article 19	CD
Minimum	minimum	JJ
reserves	reserve	NNS
1.	@ord@	CD
Subject	subject	NNP
to	to	NNP
Article 2	Article 2	NNP
,	,	,
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
may	may	MD
require	require	VB
credit	credit	NN
institutions	institution	NNS
established	establish	VBN
in	in	IN
Member	Member	NNP
States	States	NNP
to	to	TO
hold	hold	VB
minimum	minimum	JJ
reserves	reserve	NNS
on	on	IN
accounts	account	NNS
with	with	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
and	and	CC
national	national	JJ
central	central	JJ
banks	bank	NNS
in	in	IN
pursuance	pursuance	NN
of	of	IN
monetary	monetary	JJ
policy	policy	NN
objectives	objective	NNS
.	.	.
Detailed	detailed	JJ
rules	rule	NNS
concerning	concern	VBG
the	the	DT
calculation	calculation	NN
and	and	CC
determination	determination	NN
of	of	IN
the	the	DT
required	require	JJ
minimum	minimum	JJ
reserves	reserve	NNS
may	may	MD
be	be	VB
established	establish	VBN
by	by	IN
the	the	DT
Governing	govern	NNP
Council	Council	NNP
.	.	.
In	in	IN
cases	case	NNS
of	of	IN
non-compliance	non-compliance	JJ
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
shall	shall	MD
be	be	VB
entitled	entitle	VBN
to	to	TO
levy	levy	VB
penalty	penalty	NN
interest	interest	NN
and	and	VBN
to	to	TO
impose	impose	VB
other	other	JJ
sanctions	sanction	NNS
with	with	IN
comparable	comparable	JJ
effect.2	effect.2	CD
.	.	.
For	for	IN
the	the	DT
application	application	NN
of	of	IN
this	this	DT
Article	Article	NN
,	,	,
the	the	DT
Council	Council	NNP
shall	shall	NN
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
procedure	procedure	NN
laid	lay	VBD
down	down	IN
in	in	IN
Article 41	Article 41	CD
,	,	,
define	define	VBG
the	the	DT
basis	basis	NN
for	for	IN
minimum	minimum	JJ
reserves	reserve	NNS
and	and	CC
the	the	DT
maximum	maximum	JJ
permissible	permissible	JJ
ratios	ratio	NNS
between	between	IN
those	those	DT
reserves	reserve	NNS
and	and	CC
their	their	JJ
basis	basis	NN
,	,	,
as	as	RB
well	well	RB
as	as	IN
the	the	DT
appropriate	appropriate	JJ
sanctions	sanction	NNS
in	in	IN
cases	case	NNS
of	of	IN
non-compliance	non-compliance	NN
.	.	.
Article 20	Article 20	CD
Other	other	JJ
instruments	instrument	NNS
of	of	IN
monetary	monetary	JJ
control	control	NN
The	the	DT
Governing	govern	NNP
Council	Council	NNP
may	may	NN
,	,	NN
by	by	IN
a	a	DT
majority	majority	NN
of	of	IN
